"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.157899708E0,-1.627353206E-4,9.223324880E-2,-4.197241323E0
1.167880708E0,-2.892553629E-3,-2.450363427E-2,-3.457742790E0
1.177862708E0,-3.983228370E-2,-1.260256237E-1,-2.590547499E0
1.187844708E0,-5.978303832E-2,-2.314149615E-1,-1.461010446E0
1.197826708E0,3.776150141E-3,-3.290431438E-1,-2.056208467E-1
1.207808708E0,4.350957021E-2,-3.906442916E-1,9.791835040E-1
1.217790708E0,6.966116913E-3,-4.038882351E-1,2.012998713E0
1.227772958E0,-4.544094209E-2,-3.762490314E-1,2.944440286E0
1.237754958E0,-4.797161702E-2,-3.709622714E-1,3.903151519E0
1.247736958E0,3.618511034E-2,-3.533969432E-1,4.807291272E0
1.257717958E0,8.973153586E-2,-3.356325173E-1,5.488327589E0
1.267699958E0,6.062822593E-2,-3.174318892E-1,5.880983908E0
1.277681958E0,-8.242600635E-3,-3.160642254E-1,6.043495572E0
1.287663958E0,-3.491737917E-2,-3.360046926E-1,6.061758181E0
1.297645958E0,3.528299460E-2,-4.025486380E-1,5.916766528E0
1.307627958E0,1.042274595E-1,-4.877937332E-1,5.620974015E0
1.317609958E0,7.058630828E-2,-5.734063259E-1,5.053426307E0
1.327591958E0,-7.834665980E-3,-6.638647985E-1,4.197025561E0
1.337573958E0,-5.756095933E-2,-7.349616784E-1,3.255405155E0
1.347554958E0,-1.485344438E-2,-7.815902996E-1,2.310524926E0
1.357536958E0,3.478091978E-2,-8.042563002E-1,1.318727224E0
1.367518958E0,1.658683319E-2,-7.773509221E-1,2.539422369E-1
1.377500958E0,-3.010798034E-2,-7.070441473E-1,-9.108967960E-1
1.387482958E0,-6.656090230E-2,-5.900605117E-1,-2.090850297E0
1.397464958E0,-3.322669331E-2,-4.449209248E-1,-3.029465818E0
1.407446958E0,-4.014456156E-3,-3.014757147E-1,-3.747116815E0
1.417428958E0,-1.307719731E-2,-1.371896394E-1,-4.458666826E0
1.427410958E0,-4.394186217E-2,1.084936246E-2,-5.200893670E0
1.437391958E0,-4.136965830E-2,1.570946579E-1,-5.723587387E0
1.447373958E0,-2.870723415E-2,2.446874832E-1,-5.896528146E0
1.457355958E0,-1.578364503E-2,2.888792773E-1,-5.830710717E0
1.467337958E0,-2.016251976E-2,3.117874257E-1,-5.708871700E0
1.477319958E0,-4.052109940E-2,2.794916457E-1,-5.552241749E0
1.487301958E0,-3.830393116E-2,2.316783786E-1,-5.097687975E0
1.497283958E0,-1.879464132E-2,1.293887959E-1,-4.277780871E0
1.507265958E0,8.468001662E-3,2.180236682E-2,-3.411163285E0
1.517247958E0,-1.377604008E-3,-7.911955208E-2,-2.578806290E0
1.527228958E0,-3.859938000E-2,-1.633460623E-1,-1.653984350E0
1.537210958E0,-4.921745768E-2,-2.423412149E-1,-6.067737544E-1
1.547192958E0,-6.889390480E-3,-3.171675950E-1,5.616601467E-1
1.557174958E0,4.831389841E-2,-3.651475078E-1,1.711937274E0
1.567156958E0,3.457634032E-2,-3.510408077E-1,2.671138503E0
1.577138958E0,-2.161719281E-2,-3.330158883E-1,3.461944599E0
1.587120958E0,-4.522556355E-2,-3.191015616E-1,4.264212407E0
1.597102958E0,1.215334637E-2,-3.029965755E-1,5.000466321E0
1.607084958E0,7.885812672E-2,-3.008339828E-1,5.518064189E0
1.617066958E0,7.511950839E-2,-3.078675985E-1,5.776365525E0
1.627047958E0,8.182447404E-4,-3.098521435E-1,5.809821539E0
1.637029958E0,-3.660192546E-2,-3.520798579E-1,5.629382311E0
1.647011958E0,8.399324287E-3,-4.317850086E-1,5.333358833E0
1.656993958E0,6.746511938E-2,-5.207126802E-1,4.928143280E0
1.666975958E0,7.861022305E-2,-5.928436401E-1,4.259315949E0
1.676957958E0,1.195989490E-2,-6.485652664E-1,3.372629550E0
1.686939958E0,-4.139505258E-2,-6.789783892E-1,2.410433376E0
1.696921958E0,-1.991007079E-2,-7.064282893E-1,1.413025855E0
1.706903958E0,1.947393246E-2,-7.136307433E-1,4.484147823E-1
1.716884958E0,3.514965981E-2,-6.512618561E-1,-5.389863986E-1
1.726866958E0,-3.184590074E-2,-5.532660301E-1,-1.614703925E0
1.736848958E0,-6.087968362E-2,-4.372207265E-1,-2.713016846E0
1.746830958E0,-3.180635895E-2,-2.920573121E-1,-3.519361333E0
1.756812958E0,-8.897529901E-3,-1.570442256E-1,-4.091486827E0
1.766794958E0,-1.826830055E-2,-1.097507760E-2,-4.692906870E0
1.776776958E0,-5.670755364E-2,1.229108850E-1,-5.262756627E0
1.786758958E0,-5.080816529E-2,2.137274265E-1,-5.629141991E0
1.796740958E0,-3.548087260E-2,2.801148127E-1,-5.666503944E0
1.806721958E0,-1.611651148E-2,3.009857181E-1,-5.448395784E0
1.816703958E0,-2.160513293E-2,2.968748331E-1,-5.204734706E0
1.826685958E0,-2.929003710E-2,2.457575968E-1,-4.936549821E0
1.836667958E0,-3.634393534E-2,1.696538924E-1,-4.371174354E0
1.846649958E0,-1.690045408E-2,7.868481159E-2,-3.499363856E0
1.856631958E0,1.887828391E-2,-2.420337975E-2,-2.581129389E0
1.866613958E0,1.026319737E-2,-1.171786402E-1,-1.698036103E0
1.876595958E0,-3.378436237E-2,-1.822651671E-1,-7.955768394E-1
1.886577958E0,-4.595540570E-2,-2.427206992E-1,1.964144057E-1
1.896558958E0,3.463927098E-3,-3.030965629E-1,1.328169892E0
1.906540958E0,5.601798875E-2,-3.145226070E-1,2.398966987E0
1.916522958E0,4.826863730E-2,-3.096404743E-1,3.208043877E0
1.926504958E0,-3.548011886E-2,-2.945061260E-1,3.876281809E0
1.936486958E0,-5.293762073E-2,-2.677159381E-1,4.522733014E0
1.946468958E0,1.278066125E-2,-2.719864520E-1,5.093871498E0
1.956450958E0,8.007754527E-2,-2.938740420E-1,5.453496310E0
1.966432958E0,7.445873648E-2,-3.085932380E-1,5.572645608E0
1.976414958E0,-1.045151426E-2,-3.314102429E-1,5.428954377E0
1.986395958E0,-4.267277883E-2,-3.868722528E-1,5.096322066E0
1.996377958E0,-2.364723645E-3,-4.528133503E-1,4.705314077E0
2.006359958E0,6.524387179E-2,-5.390147576E-1,4.203777341E0
2.016341958E0,6.972148681E-2,-6.130302751E-1,3.458684192E0
2.026323958E0,4.399901871E-3,-6.374406463E-1,2.532720290E0
2.036305958E0,-4.565470350E-2,-6.433453108E-1,1.533011305E0
2.046287958E0,-1.703269252E-2,-6.317339100E-1,5.576220596E-1
2.056269958E0,4.074028320E-2,-6.044993336E-1,-3.346548629E-1
2.066251958E0,2.425220400E-2,-5.168334912E-1,-1.249067005E0
2.076233958E0,-3.510323840E-2,-4.116533375E-1,-2.284667369E0
2.086214958E0,-5.944770050E-2,-2.803706284E-1,-3.236739088E0
2.096196958E0,-3.366838650E-2,-1.529418191E-1,-3.864837053E0
2.106178958E0,-1.498071268E-2,-3.132733494E-2,-4.335772972E0
2.116160958E0,-2.715429590E-2,9.367531836E-2,-4.828852295E0
2.126142958E0,-5.343735210E-2,1.967093977E-1,-5.254565848E0
2.136124958E0,-5.168333359E-2,2.710991371E-1,-5.448282348E0
2.146106958E0,-2.497233886E-2,2.966384594E-1,-5.312055672E0
2.156088958E0,-9.907398862E-3,2.887596287E-1,-4.971867004E0
2.166070958E0,-1.462800681E-2,2.555262476E-1,-4.672370279E0
2.176051958E0,-4.042327275E-2,2.005941416E-1,-4.269802346E0
2.186033958E0,-3.464297117E-2,1.151386929E-1,-3.575972906E0
2.196015958E0,-1.506909700E-3,2.079825372E-2,-2.678544586E0
2.205997958E0,3.274517510E-2,-7.542294234E-2,-1.740841230E0
2.215979958E0,4.840992065E-3,-1.495641750E-1,-8.716841984E-1
2.225961500E0,-3.890477825E-2,-1.908731456E-1,-1.481567502E-2
2.235943500E0,-4.022630380E-2,-2.412587491E-1,9.854733539E-1
2.245925500E0,2.254786855E-2,-2.748685446E-1,2.049871840E0
2.255907500E0,6.934744773E-2,-2.797433683E-1,2.947118311E0
2.265888500E0,2.387112999E-2,-2.721367255E-1,3.618187464E0
2.275870500E0,-3.978975434E-2,-2.514869910E-1,4.182649012E0
2.285852500E0,-4.024949167E-2,-2.369660157E-1,4.697615048E0
2.295834500E0,3.992533665E-2,-2.597865289E-1,5.084356323E0
2.305816500E0,8.984818781E-2,-2.736605099E-1,5.288358076E0
2.315798500E0,5.210570812E-2,-3.071805507E-1,5.254241327E0
2.325780500E0,-2.018093392E-2,-3.495009434E-1,4.927573176E0
2.335762500E0,-3.313692028E-2,-4.005857277E-1,4.517000404E0
2.345744500E0,1.382954210E-2,-4.737887746E-1,4.060695974E0
2.355725500E0,6.909175996E-2,-5.474376717E-1,3.432245421E0
2.365707500E0,4.041588150E-2,-5.864042477E-1,2.637801772E0
2.375689500E0,-2.293029472E-2,-6.022088331E-1,1.686057497E0
2.385671500E0,-5.347299728E-2,-5.892764001E-1,6.855170381E-1
2.395653500E0,-7.080265526E-3,-5.488453889E-1,-2.086362559E-1
2.405635500E0,2.615500675E-2,-4.884994921E-1,-1.006451409E0
2.415617500E0,-4.608382517E-3,-4.006395221E-1,-1.915970601E0
2.425599500E0,-4.710293091E-2,-2.725020303E-1,-2.876589196E0
2.435581500E0,-5.168490959E-2,-1.339945015E-1,-3.614480329E0
2.445562500E0,-2.128450908E-2,-2.497111917E-2,-4.094322726E0
2.455544500E0,-4.280394833E-3,8.505549923E-2,-4.495258702E0
2.465526500E0,-2.971749140E-2,1.894404316E-1,-4.879742367E0
