20111.52,3.76,26.24

-19994.23,3.82,26.18

20116.66,3.82,26.18

-19985.31,3.71,26.29

20107.43,3.76,26.24

-20009.57,4.20,25.80

20119.13,4.47,25.53

-20023.28,4.96,25.04

20156.41,4.91,25.09

-20017.99,4.80,25.20

20114.04,5.34,24.66

-19947.77,4.85,25.15

20145.93,3.93,26.07

-20036.24,4.36,25.64

20209.08,3.87,26.13

-20064.32,3.84,26.16

20238.90,3.38,26.62

-20092.45,3.38,26.62

20207.41,3.87,26.13

-20058.78,3.87,26.13

20142.83,4.85,25.15

-20029.82,5.39,24.61

20231.42,4.63,25.37

-20019.43,3.76,26.24

20175.93,3.76,26.24

-20017.86,3.76,26.24

20148.10,4.20,25.80

-19984.10,4.15,25.85

20087.28,5.01,24.99

-19888.78,4.47,25.53

20089.90,3.93,26.07

-19889.81,3.44,26.56

20063.07,3.38,26.62

-19921.18,3.82,26.18

20093.17,3.82,26.18

-19890.21,3.38,26.62

20000.08,4.36,25.64

-19956.78,6.32,23.68

20302.64,3.76,26.24

-20130.18,3.87,26.13

20241.51,4.91,25.09

-20042.54,4.63,25.37

20247.25,4.31,25.69

-20202.06,6.37,23.63

20501.81,4.63,25.37

-20344.07,5.07,24.93

20392.18,7.13,22.87

-20096.91,5.50,24.50

20253.57,5.99,24.01

-20169.95,7.57,22.43

20406.13,6.86,23.14

-20244.33,7.29,22.71

20324.54,8.94,21.06

-20355.39,12.20,17.80

20719.69,9.54,20.46

-20538.73,9.68,20.32

20785.55,8.87,21.13

-20573.81,8.62,21.38

20770.19,8.62,21.38

-20561.50,8.45,21.55

20731.38,8.89,21.11

-20608.88,10.03,19.97

20910.39,8.51,21.49

-20791.99,9.76,20.24

20831.92,12.15,17.85

-20283.61,6.97,23.03

20537.39,6.32,23.68

-20332.34,6.43,23.57

20582.69,5.88,24.12

-20318.78,5.18,24.82

20501.06,5.72,24.28

-20314.74,6.21,23.79

20663.23,4.31,25.69

-20460.08,4.63,25.37

20579.56,6.21,23.79

-20267.02,4.91,25.09

20466.07,5.34,24.66

-20321.53,6.59,23.41

20597.28,5.88,24.12

-20311.32,5.07,24.93

20552.63,4.96,25.04

-20320.63,5.01,24.99

20535.65,5.34,24.66

-20220.57,4.20,25.80

20374.09,5.50,24.50

-20060.00,4.42,25.58

20348.40,3.76,26.24

-20075.50,3.38,26.62

20321.35,3.44,26.56

-20217.35,5.61,24.39

20122.45,10.68,19.32

-19477.80,4.69,25.31

19697.38,5.18,24.82

-19436.86,5.07,24.93

19743.19,4.31,25.69

-19485.25,4.31,25.69

19704.31,4.91,25.09

-19507.00,5.83,24.17

19656.13,7.46,22.54

-19218.56,4.80,25.20

19515.96,4.31,25.69

-19234.41,4.09,25.91

19381.96,5.88,24.12

-19012.36,4.36,25.64

19327.74,3.71,26.29

-19112.39,4.58,25.42

19393.68,4.47,25.53

-19106.96,4.31,25.69

19347.77,4.85,25.15

-26470.51,114.20,-84.20

33910.77,5.07,24.93

-33552.25,3.82,26.18

33793.56,4.36,25.64

-33581.20,5.34,24.66

33859.24,5.34,24.66

-33513.57,4.36,25.64

33833.33,3.82,26.18

-33547.67,3.82,26.18

33834.90,3.82,26.18

-33549.77,3.87,26.13

33840.03,3.87,26.13

-33548.20,3.87,26.13

33808.53,4.36,25.64

-33481.48,3.87,26.13

33777.99,3.87,26.13

-33509.31,4.31,25.69

33837.47,3.87,26.13

-33569.35,4.36,25.64

33871.11,4.36,25.64

-33600.89,4.85,25.15

33878.99,5.23,24.77

-33548.71,4.85,25.15

33855.53,4.85,25.15

-33514.13,4.36,25.64

33824.97,4.36,25.64

-33479.51,3.87,26.13

33765.04,4.31,25.69

-33548.67,5.77,24.23

33914.25,5.01,24.99

-33567.70,4.58,25.42

33876.21,4.74,25.26

-33588.57,5.23,24.77

33917.14,5.12,24.88

-33572.16,4.80,25.20

33864.18,5.29,24.71

-33623.10,6.53,23.47

33789.58,8.87,21.13

